"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"10/4/2024","10/4/2024","10/7/2024","COIN","COIN 10/11/2024 Put $157.50","STO","1","$2.77","$276.95"
"10/4/2024","10/4/2024","10/7/2024","HOOD","Robinhood Markets
CUSIP: 770700102","Sell","200","$22.97","$4,593.86"
"10/4/2024","10/4/2024","10/7/2024","BA","BA 10/11/2024 Call $157.50","STO","2","$1.42","$283.92"
"10/4/2024","10/4/2024","10/7/2024","BA","Boeing
CUSIP: 097023105","Sell","100","$152.21","$15,220.55"
"10/4/2024","10/4/2024","10/7/2024","BA","BA 10/11/2024 Call $155.00","STO","1","$2.37","$236.95"
"10/4/2024","10/4/2024","10/7/2024","NKE","NKE 10/11/2024 Call $86.00","BTC","1","$0.30","($30.03)"
"10/4/2024","10/4/2024","10/7/2024","AMZN","AMZN 10/11/2024 Call $192.50","BTC","1","$1.04","($104.03)"
"10/4/2024","10/4/2024","10/7/2024","BA","BA 10/11/2024 Call $157.50","BTC","4","$1.70","($680.12)"
"10/4/2024","10/4/2024","10/7/2024","COIN","COIN 10/11/2024 Put $152.50","BTC","1","$1.79","($179.03)"
"10/4/2024","10/4/2024","10/7/2024","COIN","COIN 10/4/2024 Put $165.00","BTC","1","$1.31","($131.03)"
"10/3/2024","10/3/2024","10/4/2024","DNLI","Denali Therapeutics
CUSIP: 24823R105","Buy","5","$28.54","($142.70)"
"10/3/2024","10/3/2024","10/4/2024","AMZN","AMZN 10/4/2024 Put $180.00","BTC","1","$0.76","($76.03)"
"10/3/2024","10/3/2024","10/4/2024","OPCH","Option Care Health
CUSIP: 68404L201","Buy","4","$29.28","($117.12)"
"10/3/2024","10/3/2024","10/4/2024","CHEF","Chef's Warehouse
CUSIP: 163086101","Buy","5","$40.00","($200.00)"
"10/3/2024","10/3/2024","10/4/2024","OSCR","Oscar Health
CUSIP: 687793109","Buy","20","$19.22","($384.39)"
"10/3/2024","10/3/2024","10/4/2024","SPY","SPDR S&P 500 ETF
CUSIP: 78462F103","Buy","1","$566.95","($566.95)"
"10/3/2024","10/3/2024","10/4/2024","COIN","COIN 10/11/2024 Put $152.50","STO","1","$3.05","$304.95"
"10/3/2024","10/3/2024","10/4/2024","HOOD","HOOD 10/4/2024 Call $23.50","BTC","2","$0.06","($12.06)"
"10/3/2024","10/3/2024","10/4/2024","NKE","NKE 10/11/2024 Call $86.00","STO","1","$0.29","$28.95"
"10/3/2024","10/3/2024","10/4/2024","NKE","NKE 10/11/2024 Call $86.00","STO","1","$0.30","$29.95"
"10/3/2024","10/3/2024","10/4/2024","NKE","NKE 10/4/2024 Call $87.00","BTC","2","$0.02","($4.06)"
"10/3/2024","10/3/2024","10/4/2024","AMD","AMD
CUSIP: 007903107","Sell","19","$164.26","$3,120.85"
"10/3/2024","10/3/2024","10/4/2024","BA","BA 10/11/2024 Call $157.50","STO","2","$1.67","$333.92"
"10/3/2024","10/3/2024","10/4/2024","BA","BA 10/11/2024 Call $157.50","STO","2","$1.67","$333.92"
"10/3/2024","10/3/2024","10/4/2024","BA","BA 10/4/2024 Call $155.00","BTC","4","$0.49","($196.12)"
"10/3/2024","10/3/2024","10/4/2024","HOOD","HOOD 10/4/2024 Call $23.50","STO","2","$0.05","$9.92"
"10/2/2024","10/2/2024","10/3/2024","AMZN","AMZN 10/11/2024 Call $192.50","STO","1","$1.08","$107.95"
"10/2/2024","10/2/2024","10/3/2024","NKE","NKE 10/4/2024 Call $87.00","STO","2","$0.09","$17.92"
"10/2/2024","10/2/2024","10/3/2024","NKE","Nike
CUSIP: 654106103","Buy","100","$83.30","($8,330.17)"
"10/2/2024","10/2/2024","10/3/2024","NKE","Nike
CUSIP: 654106103","Buy","20","$82.85","($1,656.94)"
"10/2/2024","10/2/2024","10/3/2024","HOOD","Robinhood Markets
CUSIP: 770700102","Buy","100","$22.94","($2,294.50)"
"10/2/2024","10/2/2024","10/3/2024","DNLI","Denali Therapeutics
CUSIP: 24823R105","Buy","50","$28.13","($1,406.47)"
"10/2/2024","10/2/2024","10/3/2024","COIN","COIN 10/4/2024 Put $155.00","BTC","1","$1.86","($186.03)"
"10/2/2024","10/2/2024","10/3/2024","NKE","NKE 10/4/2024 Call $91.00","BTC","1","$0.02","($2.03)"
"10/1/2024","10/1/2024","10/2/2024","SPY","SPY 10/10/2024 Put $554.00","STC","1","$1.78","$177.95"
"10/1/2024","10/1/2024","10/2/2024","DNLI","Denali Therapeutics
CUSIP: 24823R105","Buy","10","$28.52","($285.22)"
"10/1/2024","10/1/2024","10/2/2024","SPY","SPY 10/10/2024 Put $554.00","BTO","1","$2.37","($237.03)"
"10/1/2024","10/1/2024","10/2/2024","NKE","NKE 10/4/2024 Put $86.00","BTC","1","$2.12","($212.03)"
"10/1/2024","10/1/2024","10/2/2024","PFE","Pfizer
CUSIP: 717081103","Sell","300","$28.54","$8,563.21"
"10/1/2024","10/1/2024","10/2/2024","HOOD","HOOD 10/4/2024 Call $24.00","BTC","1","$0.08","($8.03)"
"10/1/2024","10/1/2024","10/2/2024","AMZN","AMZN 10/4/2024 Call $192.50","BTC","1","$0.22","($22.03)"
"10/1/2024","10/1/2024","10/2/2024","BA","BA 1/17/2025 Call $155.00","STC","2","$14.70","$2,939.84"
"10/1/2024","10/1/2024","10/2/2024","COIN","Coinbase
CUSIP: 19260Q107","Buy","1","$168.48","($168.48)"
"10/1/2024","10/1/2024","10/2/2024","COIN","COIN 10/4/2024 Put $155.00","STO","1","$1.76","$175.95"
"10/1/2024","10/1/2024","10/2/2024","BA","BA 1/17/2025 Call $155.00","BTO","1","$14.39","($1,439.03)"
"10/1/2024","10/1/2024","10/2/2024","BA","BA 1/17/2025 Call $155.00","BTO","1","$14.39","($1,439.03)"
"10/1/2024","10/1/2024","10/2/2024","NKE","NKE 10/4/2024 Call $91.00","STO","1","$2.22","$221.95"
"10/1/2024","10/1/2024","10/2/2024","SPY","SPY 10/1/2024 Put $568.00","STC","1","$1.72","$171.95"
"10/1/2024","10/1/2024","10/2/2024","SPY","SPY 10/1/2024 Put $568.00","BTO","1","$1.37","($137.03)"
"10/1/2024","10/1/2024","10/2/2024","PFE","PFE 10/4/2024 Call $29.50","BTC","1","$0.06","($6.03)"
"10/1/2024","10/1/2024","10/2/2024","PFE","PFE 10/4/2024 Call $29.50","BTC","1","$0.06","($6.03)"
"10/1/2024","10/1/2024","10/2/2024","PFE","PFE 10/4/2024 Call $29.50","BTC","1","$0.06","($6.03)"
"10/1/2024","10/1/2024","10/2/2024","CECO","CECO Environmental
CUSIP: 125141101","Sell","26","$27.30","$709.78"
"10/1/2024","10/1/2024","10/2/2024","DIS","Disney
CUSIP: 254687106","Sell","6","$94.99","$569.92"
"10/1/2024","10/1/2024","10/2/2024","DIS","Disney
CUSIP: 254687106","Sell","6","$94.99","$569.92"
"10/1/2024","10/1/2024","10/2/2024","DIS","Disney
CUSIP: 254687106","Sell","5","$94.98","$474.90"
"10/1/2024","10/1/2024","10/2/2024","DIS","Disney
CUSIP: 254687106","Sell","6","$94.99","$569.92"
"10/1/2024","10/1/2024","10/2/2024","DIS","Disney
CUSIP: 254687106","Sell","6","$94.99","$569.92"
"10/1/2024","10/1/2024","10/2/2024","DIS","Disney
CUSIP: 254687106","Sell","6","$94.99","$569.92"
"10/1/2024","10/1/2024","10/2/2024","META","Meta Platforms
CUSIP: 30303M102","Sell","6","$577.82","$3,466.85"
"10/1/2024","10/1/2024","10/2/2024","BA","BA 10/4/2024 Call $155.00","STO","4","$1.26","$503.85"
"10/1/2024","10/1/2024","10/2/2024","LULU","Lululemon
CUSIP: 550021109","Sell","10","$266.01","$2,660.02"
"9/30/2024","9/30/2024","9/30/2024","","Interest Payment","INT","","","$290.30"
